u,v,km,lambda,Tao_RP,Tao_SW
1,2,3.52,0.352,1.90,0.25
1,13,1.57,0.157,2.02,0.28
1,17,1.52,0.152,1.70,0.28
1,27,3.85,0.385,1.54,0.27
2,3,1.16,0.116,2.38,0.26
2,4,1.56,0.156,2.17,0.27
2,5,2.03,0.203,2.27,0.22
5,6,1.16,0.116,2.06,0.24
5,7,1.56,0.156,2.20,0.28
5,8,2.12,0.212,1.93,0.25
8,9,1.76,0.176,1.99,0.30
8,10,1.93,0.193,1.69,0.28
8,11,1.60,0.160,1.52,0.23
11,12,2.16,0.216,2.43,0.23
13,14,0.90,0.090,2.49,0.23
13,15,3.15,0.315,2.43,0.23
15,16,1.14,0.114,1.69,0.27
17,18,1.24,0.124,1.97,0.26
17,19,2.35,0.235,2.07,0.24
19,20,1.54,0.154,2.13,0.29
19,21,1.78,0.178,1.64,0.25
19,22,1.82,0.182,2.07,0.29
22,23,1.57,0.157,2.41,0.29
22,24,1.65,0.165,2.49,0.21
22,25,2.10,0.210,1.65,0.22
25,26,1.06,0.106,2.10,0.21
27,28,1.25,0.125,1.83,0.27
27,29,1.54,0.154,1.97,0.26
27,30,2.03,0.203,2.25,0.24
30,31,1.33,0.133,1.96,0.25
30,32,1.80,0.180,2.09,0.22
30,33,1.99,0.199,1.51,0.24
33,34,2.12,0.212,2.16,0.22
33,35,1.44,0.144,1.76,0.20
35,36,1.63,0.163,1.76,0.23
35,37,1.82,0.182,2.10,0.26
